,Address,Bath,Bed,Price,Property Type,sf
328,27685 Fraser Highway,5,6,"$878,800",R2280114,2980
329,34447 Immel Street,3,5,"$770,000",R2279918,2130
330,207-2585 Ware Street,2,2,"$344,500",R2279787,985
331,1909 Horizon Street,3,4,"$824,900",R2279580,2540
332,28929 King Road,0,0,"$799,900",R2280776,0
333,3751 Harwood Crescent,3,4,"$774,900",R2280622,2000
334,19-34755 Old Yale Road,3,3,"$469,000",R2280337,1683
335,217-32445 Simon Avenue,2,2,"$490,000",R2280138,1269
336,3791 Mckinley Drive,3,5,"$1,089,900",House,2983
337,32065 Dormick Avenue,2,2,"$749,900",R2280732,1976
338,11-33123 George Ferguston Way,2,2,"$340,000",R2280352,1350
339,78-35287 Old Yale Road,3,3,"$514,800",R2280191,1746
340,509-32445 Simon Avenue,2,2,"$659,900",R2280534,1925
341,2802 Upland Crescent,3,4,"$989,000",R2280549,3112
342,2646 Platinum Lane,4,4,"$1,688,000",R2278784,5103
343,2229 Carleton Place,3,5,"$785,000",R2280001,2864
344, Lot 7 Willet Road,0,0,"$799,000",R2279742,0
345,214-33546 Holland Avenue,1,1,"$299,800",R2279720,678
346,25-30748 Cardinal Avenue,3,4,"$639,000",R2279569,2341
347,2548 Guilford Drive,2,4,"$1,099,000",R2279403,1835
348,105-2565 Ware Street,1,1,"$360,000",R2280405,694
349,202-30515 Cardinal Avenue,1,1,"$309,900",R2280051,740
350,34995 Skyline Drive,4,3,"$1,189,900",R2280396,3350
351,31497 Spur Avenue,3,6,"$929,000",R2279914,2740
352,113-4001 Old Clayburn Road,3,4,"$669,000",R2280148,2888
353,302-30525 Cardinal Avenue,1,1,"$289,900",R2280064,626
354,84-34248 King Road,3,2,"$498,000",R2280202,1212
355,305-33568 George Ferguson Way,3,3,"$509,900",R2279811,1089
356,1783 Fairview Street,2,4,"$699,900",R2280267,2140
357,36004 Empress Lane,5,5,"$1,298,800",House,4616
358,301-33568 George Ferguson Way,1,2,"$374,900",R2279808,798
359,32817 Gatefield Avenue,3,5,"$725,000",R2279754,2120
360,3983 Paradise Place,3,8,"$1,280,000",R2280063,4400
361,35624 Dina Place,3,3,"$839,900",R2279913,2400
362,31151 Creekside Drive,3,5,"$869,900",R2278872,2390
363,218-32083 Hillcrest Avenue,3,3,"$449,900",R2279717,1195
364,35383 Sandyhill Road,3,4,"$799,000",R2279427,2300
365,104-32063 Mt Waddington Avenue,2,2,"$369,900",R2279083,1001
366,34490 Immel Street,3,5,"$898,500",R2278658,2577
367,3482 Hill Park Place,7,7,"$1,324,888",R2279092,4133
368,419-30525 Cardinal Avenue,1,2,"$369,900",R2279576,749
369,104-36060 Old Yale Road,3,3,"$469,700",R2279510,1433
370,117-33960 Old Yale Road,1,1,"$269,900",R2279646,709
371,10-35689 Goodbrand Drive,6,5,"$2,415,000",R2279337,6075
372,112-2575 Ware Street,2,2,"$334,900",R2278906,1140
373,417-2233 Mckenzie Road,1,1,"$294,900",R2279515,600
374,208-32110 Tims Avenue,2,2,"$265,000",R2278662,945
375,30929 Sandpiper Drive,4,5,"$829,900",R2279174,2493
376,3678 Greendale Court,6,8,"$1,139,000",R2278684,4600
377,417-2485 Montrose Avenue,3,2,"$544,900",R2278262,1129
378,33667 Grace Avenue,2,3,"$599,000",House,1500
379,3855 Caves Court,3,6,"$1,025,000",R2278796,3530
